In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
,,21954.0,Arthur's Beauty College,AR
12938.0,12938.0,62244.0,Baptist Health College Little Rock,AR
4440.0,6888.0,34818.0,Black River Technical College,AR
9778.0,16728.0,45938.0,University of Central Arkansas,AR
17700.0,17700.0,46789.0,Central Baptist College,AR
3620.0,4460.0,33775.0,Cossatot Community College of the University of Arkansas,AR
15000.0,15000.0,39533.0,Crowley's Ridge College,AR
2910.0,3810.0,28471.0,East Arkansas Community College,AR
,,24765.0,Paul Mitchell the School-Little Rock,AR
5200.0,6880.0,32444.0,National Park College,AR
2766.0,3750.0,33706.0,University of Arkansas Community College-Batesville,AR
23148.0,23148.0,52876.0,Harding University,AR
7560.0,9768.0,43459.0,Henderson State University,AR
35100.0,35100.0,60376.0,Hendrix College,AR
,,21563.0,Hot Springs Beauty College,AR
,,73975.0,Jefferson Regional School of Nursing,AR
29720.0,29720.0,53907.0,John Brown University,AR
,,21567.0,Career Academy of Hair Design,AR
,,16941.0,Academy of Salon and Spa,AR
2818.0,4258.0,31857.0,Arkansas State University Mid-South,AR
2542.0,4222.0,33169.0,Arkansas Northeastern College,AR
,,18715.0,New Tyler Barber College Inc,AR
2760.0,5136.0,34653.0,North Arkansas College,AR
5184.0,5184.0,41513.0,Northwest Technical Institute,AR
31180.0,31180.0,51673.0,Ouachita Baptist University,AR
3356.0,5780.0,37374.0,Arkansas State University Three Rivers,AR
3720.0,6723.0,29314.0,Ozarka College,AR
25950.0,25950.0,44384.0,University of the Ozarks,AR
3336.0,4128.0,34924.0,University of Arkansas Community College-Morrilton,AR
13014.0,13014.0,38427.0,Philander Smith University,AR
3110.0,5060.0,29552.0,Phillips Community College of the University of Arkansas,AR
4200.0,7200.0,33603.0,Southeast Arkansas College,AR
,,26754.0,University of Aesthetics & Cosmetology,AR
5820.0,7050.0,34722.0,University of Arkansas-Pulaski Technical College,AR
3250.0,4660.0,34162.0,University of Arkansas Hope-Texarkana,AR
3384.0,3960.0,30037.0,University of Arkansas Community College Rich Mountain,AR
,,20077.0,Paul Mitchell the School-Arkansas,AR
